Customer_ID,DOB,Gender,Annual_Income,Spending_Score,Shopping_Category,Shopping_Frequency,Total_Spent
CUST0420,1974-10-10,Female,32604.0,3,Furniture,13,12.72
CUST0421,1981-08-13,Male,79561.0,70,Sports,18,1002.47
CUST0422,1992-08-28,Female,149293.0,95,,16,2269.25
CUST0423,1998-11-29,Female,93520.0,85,Clothing,8,635.94
CUST0424,1984-09-02,Male,112581.0,23,Furniture,13,336.62
CUST0425,1991-08-09,Male,106367.0,27,Electronics,27,775.42
CUST0426,1999-05-31,Female,38972.0,94,Groceries,7,256.44
CUST0427,1956-10-12,Female,104066.0,61,Sports,27,1713.97
CUST0428,1987-12-26,Male,34158.0,77,Clothing,17,447.13
CUST0429,2003-08-05,Female,86969.0,39,Clothing,27,915.78
CUST0430,1949-08-11,Male,109772.0,61,Clothing,26,1740.98
CUST0431,1975-06-26,Female,90878.0,8,Electronics,4,29.08
CUST0432,2003-12-25,Male,59634.0,92,Furniture,10,548.63
CUST0433,1986-08-12,Female,34838.0,30,,27,282.19
CUST0434,1951-08-23,Male,35212.0,97,Furniture,4,136.62
CUST0435,1997-04-13,Female,73419.0,3,Furniture,1,2.2
CUST0436,1971-06-09,Male,144515.0,51,Toys,19,1400.35
CUST0437,1961-05-19,Female,49987.0,86,Electronics,14,601.84
CUST0438,1999-06-26,Male,106394.0,95,Clothing,8,808.59
CUST0439,1964-06-29,Female,61044.0,5,Toys,7,21.37
CUST0440,1958-07-15,Female,46344.0,30,Electronics,5,69.52
CUST0441,2004-07-16,Female,128190.0,4,Toys,22,112.81
CUST0442,1971-08-25,Female,93928.0,N/A,Furniture,4,
CUST0443,1961-09-25,Female,123333.0,28,Toys,27,932.4
CUST0444,1978-12-07,F,136850.0,95,Electronics,5,650.04
CUST0445,1945-09-10,Male,130752.0,94,,27,3318.49
CUST0446,1972-04-04,Male,147630.0,88,Electronics,23,2988.03
CUST0447,1987-03-31,FEMALE,91094.0,84,Sports,9,688.67
CUST0448,1997-12-25,Male,114564.0,66,Sports,30,2268.37
CUST0449,1973-12-31,Other,71452.0,80,Sports,28,1600.52
CUST0450,1959-08-23,Female,83488.0,86,Furniture,4,287.2
CUST0451,1975-11-19,Female,108213.0,78,Clothing,16,1350.5
CUST0452,1971-07-20,Female,100776.0,75,Toys,30,2267.46
CUST0453,1958-01-29,Female,21042.0,85,Toys,15,268.29
CUST0454,1958-02-27,Male,42308.0,32,Sports,14,189.54
CUST0455,1961-11-13,Female,20744.0,68,Furniture,9,126.95
CUST0456,1980-12-17,Male,107840.0,16,Groceries,18,310.58
CUST0457,1968-12-16,Male,,75,Groceries,19,
CUST0458,1958-01-26,Male,145216.0,23,Clothing,17,567.79
CUST0459,1985-07-18,Male,105528.0,85,Furniture,12,1076.39
CUST0460,1979-08-12,Female,44792.0,65,,28,815.21
CUST0461,1961-06-08,Female,56853.0,N/A,Clothing,28,
CUST0462,1987-10-11,Male,86016.0,97,Groceries,30,2503.07
CUST0463,1963-04-22,Male,68891.0,18,Furniture,23,285.21
CUST0464,2006-11-08,Female,95719.0,25,,2,47.86
CUST0465,1961-11-22,Male,43584.0,35,Furniture,8,122.04
CUST0466,1988-05-21,Male,,32,,19,
CUST0467,1977-07-10,Male,109000.0,60,,30,1962.0
CUST0468,1956-11-20,Male,141312.0,83,Furniture,13,1524.76
CUST0469,1981-04-07,Female,103474.0,69,Furniture,4,285.59
CUST0470,1974-12-14,Male,124884.0,49,Furniture,20,1223.86
CUST0471,2002-06-07,Male,62484.0,41,Electronics,30,768.55
CUST0472,1960-08-16,Female,,95,Sports,29,
CUST0473,1963-06-14,male,,53,,26,
CUST0474,1959-11-18,Male,131730.0,71,Electronics,21,1964.09
CUST0475,1961-01-10,Male,25787.0,79,Groceries,30,611.15
CUST0476,1960-11-14,Female,90199.0,83,Sports,19,1422.44
CUST0477,2005-09-15,Male,138575.0,9,Furniture,24,299.32
CUST0478,2001-08-16,Female,128961.0,37,Clothing,30,1431.47
CUST0479,1986-02-28,Female,128576.0,70,Clothing,26,2340.08
CUST0480,1946-03-11,Female,30003.0,51,Groceries,5,76.51
CUST0481,1947-03-25,N/A,20687.0,16,Clothing,27,89.37
CUST0482,2006-06-27,Female,68499.0,82,Sports,21,1179.55
CUST0483,1955-02-05,Male,132129.0,38,Clothing,20,1004.18
CUST0484,1976-05-17,Female,27393.0,60,Toys,6,98.61
CUST0485,1997-09-22,Male,39500.0,13,,13,66.75
CUST0486,1965-01-27,Male,,18,Electronics,29,
CUST0487,1953-06-18,Female,92903.0,76,Toys,21,1482.73
CUST0488,1981-07-25,Male,34291.0,42,Sports,12,172.83
CUST0489,1984-02-10,Female,85584.0,28,Groceries,6,143.78
CUST0490,1975-10-04,Female,113409.0,74,Toys,16,1342.76
CUST0491,1971-10-29,,96229.0,78,Clothing,26,1951.52
CUST0492,1965-07-27,Female,77956.0,74,Clothing,6,346.12
CUST0493,1963-07-15,Female,137564.0,62,Toys,10,852.9
CUST0494,1981-04-29,Female,24676.0,11,Clothing,18,48.86
CUST0495,1975-05-04,Female,104786.0,,Furniture,26,
CUST0496,1959-07-29,Female,95165.0,33,,6,188.43
CUST0497,2000-08-13,Female,60542.0,31,Furniture,1,18.77
CUST0498,1992-04-18,Female,94808.0,36,Groceries,23,785.01
CUST0499,2006-09-05,Male,125951.0,97,Furniture,15,1832.59
CUST0500,1947-08-28,Male,93767.0,86,Groceries,26,2096.63
